Captura,Web,Evento,Titulo,Categoria,Novedad,Ubicación,Localidad,Precio,Descuento,Fechas,Fecha_inicio,Fecha_fin,Duracion,Idioma,Publico,Puntuación,Valoración,Opiniones
07/04/2019 17:00,Atrapalo,teatro-danza,"David Guapo - #quenonosfrunjanlafiesta1, en Tarragona",Monólogos,,Auditori August - Palau Firal i de Congressos de Tarragona			,Tarragona,18,2,,2019/11/29,2019/11/29,90 min,Español,Para todas las edades,9.0,Extraordinario,3457 opiniones
07/04/2019 17:00,Atrapalo,teatro-danza,Give me 4!,Monólogos,,Sala Ars Teatre,Barcelona,"10,50","1,50",07 abr al 28 abr,2019/04/07,2019/04/28,NA,,Adultos,8.9,Excelente,124 opiniones
07/04/2019 17:00,Atrapalo,teatro-danza,Contes Pallasos,Teatro,,La Casa dels Contes,Barcelona,7,3,,2019/04/14,2019/04/14,NA,,Infantil,10,Extraordinario,3 opiniones
07/04/2019 17:00,Atrapalo,teatro-danza,Bienvenido a mi vida,Teatro,,Artespacio Plot Point,Madrid,10,4,07 abr al 28 abr,2019/04/07,2019/04/28,80 minutos,Español,Adultos,9.1,Extraordinario,82 opiniones
07/04/2019 17:00,Atrapalo,teatro-danza,Cuentos irrepetibles,Teatro,,Teatros Luchana,Madrid,8,6,13 abr al 27 abr,2019/04/13,2019/04/27,60 minutos,Español,Infantil,8.4,Muy bueno,80 opiniones
07/04/2019 17:00,Atrapalo,teatro-danza,Dos días,Teatro,,Teatro Lara - Sala Lola Membrives,Madrid,12,4,09 abr al 07 may,2019/04/09,2019/05/07,70 minutos aprox.,Español,Adultos,9.4,Extraordinario,16 opiniones
07/04/2019 17:00,Atrapalo,teatro-danza,El coronel no tiene quién le escriba,Teatro,,Teatro Infanta Isabel,Madrid,20,,15 may al 30 jun,2019/05/15,2019/06/30,NA,,Adultos,,,
07/04/2019 17:00,Atrapalo,teatro-danza,La Desnudez - Dansa València 2019,Danza,,Teatre Principal (Valencia),Valencia,12,4,,2019/04/10,2019/04/10,NA,,Adultos,,,
07/04/2019 17:00,Atrapalo,teatro-danza,Las leyes de la relatividad aplicadas a las relaciones sexuales ,Teatro,,Teatro Lara - Sala Lola Membrives,Madrid,12,4,23 may al 30 may,2019/05/23,2019/05/30,80 min,Español,Adultos,7.7,Bueno,21 opiniones
07/04/2019 17:00,Atrapalo,teatro-danza,Me Cago en el Wassap - Juan Aroca,Monólogos,,Beer Station,Madrid,8,4,14 abr al 21 abr,2019/04/14,2019/04/21,75 minutos,,Adultos,9.5,Extraordinario,38 opiniones
07/04/2019 17:00,Atrapalo,teatro-danza,Mundo Dante,Teatro,,Nave 73,Madrid,12,2,12 abr al 26 abr,2019/04/12,2019/04/26,70 minutos,Español,Adultos,,,
07/04/2019 17:00,Atrapalo,teatro-danza,"Sant Jordi, la princesa i el drac",Teatro,,La Puntual,Barcelona,6,4,12 abr al 28 abr,2019/04/12,2019/04/28,NA,,Infantil,,,
07/04/2019 17:00,Atrapalo,teatro-danza,Set of Sets - Dansa València 2019,Danza,,Teatre Principal (Valencia),Valencia,12,4,,2019/04/11,2019/04/11,NA,,Adultos,,,
07/04/2019 17:00,Atrapalo,teatro-danza,Viernes de Monólogos,Monólogos,,Sala Garufa,Sevilla,4,,12 abr al 26 abr,2019/04/12,2019/04/26,1 hora y 30 minutos aprox.,Español,Adultos,8.3,Muy bueno,94 opiniones
07/04/2019 17:00,Atrapalo,teatro-danza,Flamenco en Sala Tarantos + Cena en Can Culleretes,Espectáculo,,Sala Tarantos,Barcelona,"32,40","8,60",07 abr al 05 may,2019/04/07,2019/05/05,Show de flamenco 30 minutos + la cena,,Adultos,8.3,Muy bueno,2 opiniones
07/04/2019 17:00,Atrapalo,teatro-danza,"Hard Party 2, en Barcelona",Comedia,,Club Capitol,Barcelona,16,,08 nov al 10 nov,2019/11/08,2019/11/10,NA,,Para todas las edades,8.6,Excelente,140 opiniones
07/04/2019 17:00,Atrapalo,teatro-danza,La gran prueba del Ratoncito Pérez,Teatro,,Teatro Prosperidad,Madrid,10,5,14 abr al 28 abr,2019/04/14,2019/04/28,1 hora y 10 minutos,Castellano,Infantil,8.2,Muy bueno,616 opiniones
07/04/2019 17:00,Atrapalo,teatro-danza,La Reina de las Nieves,Teatro,,Sala Carolina,Valencia,7,3,22 abr al 25 abr,2019/04/22,2019/04/25,60 minutos,Español,Infantil,8.1,Muy bueno,107 opiniones
07/04/2019 17:00,Atrapalo,teatro-danza,"Las mil y una noches, contadas una por una",Teatro,,Taberna Alabanda,Madrid,5,3,09 abr al 23 abr,2019/04/09,2019/04/23,40 minutos,Español,Adultos,9.1,Extraordinario,338 opiniones
07/04/2019 17:00,Atrapalo,teatro-danza,Lope,Teatro,,Artespacio Plot Point - Sala K,Madrid,10,4,04 may al 25 may,2019/05/04,2019/05/25,NA,,Para todas las edades,,,
07/04/2019 17:00,Atrapalo,teatro-danza,"Relaciones, Cuentos y Relatos",Teatro,,"E.C.A. Espai de Creació Artística, Comediarte",Barcelona,10,10,,2019/04/26,2019/04/26,60 minutos,Español,Adultos,9.2,Extraordinario,22 opiniones
07/04/2019 17:00,Atrapalo,teatro-danza,Divertimagia - Magia infantil,Magia,,Teatros Luchana,Madrid,8,4,14 abr al 28 abr,2019/04/14,2019/04/28,70 minutos,Español,Infantil,8.4,Muy bueno,983 opiniones
07/04/2019 17:00,Atrapalo,teatro-danza,Poliamor,Teatro,,El Burdel a escena,Madrid,"12,99","8,01",11 abr al 27 jun,2019/04/11,2019/06/27,75 minutos,,Adultos,9.1,Extraordinario,133 opiniones
07/04/2019 17:00,Atrapalo,teatro-danza,Coitus Interruptus,Teatro,,Club Capitol,Barcelona,16,6,01 may al 02 jun,2019/05/01,2019/06/02,90 minutos,Español,Adultos,,,
07/04/2019 17:00,Atrapalo,teatro-danza,Magia en tu cara,Magia,,La Escalera de Jacob,Madrid,7,4,12 abr al 31 may,2019/04/12,2019/05/31,75 minutos,,Adultos,9.4,Extraordinario,297 opiniones
07/04/2019 17:00,Atrapalo,teatro-danza,"Cena, Monólogo, Cóctel y Parking",Espectáculo,,Casino Cirsa Valencia,Valencia,"19,95","5,05",13 abr al 01 jun,2019/04/13,2019/06/01,90 minutos,Español,Adultos,8.6,Excelente,3196 opiniones
